stop_code	stop_id	stop_name
51582	490000070A	Edgware, Edgware (Stop A)
54802	490000009W1	Arnos Grove, Arnos Grove (Stop B)
47771	490000011A	Baker Street, Baker Street Station (Stop A)
47528	490000012A	Balham, Balham (Stop A)
77739	490000037S	Canada Water, Canada Water Bus Station (Stop B2)
76008	490000038F	Canary Wharf, Canary Wharf (Stop F)
59595	490000050E	Clapham Common, Clapham Common (Stop E)
75029	490000050G	Clapham Common, Clapham Common (Stop G)
55594	490000050K	Clapham Common, Clapham Common (Stop K)
73780	490000051B	Clapham North, Clapham North & High St Stations (Stop B)
51502	490000051C	Stockwell, Clapham Road  Bedford Road (Stop C)
77918	490000051D	Clapham North, Clapham North (Stop D)
49051	490000051F	Clapham North, Clapham North (Stop F)
57430	490000016U	Barkingside, Barkingside (Stop U)
58573	490000018P	Bayswater, Bayswater (Stop P)
52337	490000019A	Becontree Heath, Becontree (Stop NC)
50119	490000019B	Becontree Heath, Becontree (Stop SJ)
54812	490000020K	Belsize Park, Belsize Park (Stop K)
76840	490000020L	Belsize Park, Belsize Park (Stop L)
77031	490000021W	Bermondsey, Bermondsey (Stop A)
58619	490000022A	Bethnal Green, Bethnal Green (Stop A)
58511	490000031P	Brixton, Brixton (Stop P)
71414	490000031Q	Brixton, Brixton (Stop Q)
75446	490000011E	Baker Street, Baker Street Station (Stop E)
51904	490000022B	Bethnal Green, Bethnal Green (Stop B)
47752	490000022C	Bethnal Green, Bethnal Green (Stop C)
53068	490000022D	Bethnal Green, Bethnal Green (Stop D)
75950	490000023BA	Blackfriars, Blackfriars (Stop A)
48573	490000070B	Edgware, Edgware Station  Station Road (Stop B)
75929	490000070C	Edgware, Edgware (Stop C)
75347	490000070D	Edgware, Edgware (Stop D)
72292	490000070F	Edgware, Edgware (Stop F)
71192	490000070G	Edgware, Edgware (Stop G)
50671	490000071E	Edgware Road, Edgware Road (Stop EZ)
71584	490000072G	Edgware Road, Edgware Road (Stop ET)
55784	490000072W	Edgware Road, Edgware Road (Stop EV)
72096	490000073F	Elephant & Castle, E & C  Newington Causeway (Stop F)
47230	490000032MO	Bromley By Bow, Bromley-By-Bow (Stop BH)
55237	490000032RP	Bromley By Bow, Bromley-By-Bow (Stop BN)
58196	490000032X	Bromley By Bow, Bromley-By-Bow (Stop BE)
73322	490000083X	Holloway, Fonthill Road (Stop X)
92858	490000001Z	City of London, Fenchurch Street Station (Stop Z)
51723	490000008AP	Archway, Archway (Stop AP)
57816	490000008C	Archway, Archway (Stop C)
73211	490000008D	Archway, Archway Station Highgate Hill (Stop D)
54660	490000008E	Archway, Archway Station Highgate Hill (Stop E)
59312	490000069EA	East Putney, East Putney (Stop EA)
75873	490000031R	Brixton, Brixton (Stop R)
55759	490000031S	Brixton, Brixton (Stop S)
73875	490000031T	Brixton, Brixton (Stop T)
71551	490000031W	Brixton, Brixton (Stop LA)
47908	490000003B	City of London, St Botolph Street (Stop B)
58497	490000003N	Aldgate, Aldgate (Stop N)
58621	490000003R	Aldgate, Aldgate (Stop R)
73275	490000039B	Canning Town, Canning Town (Stop B)
51827	490000039C	Canning Town, Canning Town (Stop C)
54792	490000144W	Marble Arch, Marble Arch (Stop W)
76831	490000145L	Marylebone, Marylebone Station (Stop L)
77977	490000136A	Leyton, Leyton (Stop A)
58475	490000136B	Leyton, Leyton (Stop B)
75757	490000148W	Monument, Monument (Stop J)
55627	490000149B	Moorgate, Moorgate Station (Stop B)
